,n,noise_lvl,data_type,model,TRE,TRE_STD,TESTE,TESTE_STD,E_DIFF,model_param
535,50,0.4,moons,svm,0.8064444444444444,0.004494166314701497,0.8,0.035213633723318004,0.006444444444444364,0.001
536,50,0.4,moons,svm,0.8353333333333332,0.0035416394334464893,0.833,0.03001666203960725,0.0023333333333331874,0.005
537,50,0.4,moons,svm,0.8413333333333334,0.004239729784075316,0.8390000000000001,0.033301651610693414,0.0023333333333332984,0.01
538,50,0.4,moons,svm,0.85,0.004360314860077483,0.8450000000000001,0.035566838487557484,0.004999999999999893,0.05
539,50,0.4,moons,svm,0.8597777777777778,0.004548775442324155,0.86,0.03549647869859771,-0.00022222222222223476,0.1
540,50,0.4,moons,svm,0.9303333333333332,0.002983493684910565,0.929,0.026248809496813356,0.0013333333333331865,0.5
541,50,0.4,moons,svm,0.9473333333333335,0.0031111111111111066,0.9450000000000001,0.024596747752497674,0.0023333333333334094,5.0
542,50,0.4,moons,svm,0.9486666666666668,0.00325083085296173,0.943,0.02830194339616979,0.00566666666666682,10.0
543,50,0.4,moons,svm,0.9565555555555557,0.0031210159789306874,0.9420000000000002,0.025219040425836965,0.014555555555555544,50.0
544,50,0.5,circles,logistic,0.5046666666666667,0.0024241582476968227,0.46499999999999997,0.029410882339705492,0.03966666666666674,0.001
545,50,0.5,circles,logistic,0.5075555555555555,0.02057686583052452,0.453,0.046486557196677845,0.054555555555555524,0.01
546,50,0.5,circles,logistic,0.5064444444444444,0.014755622489808036,0.454,0.03720215047547656,0.05244444444444435,0.1
547,50,0.5,circles,logistic,0.5074444444444445,0.01805376059453925,0.454,0.03954743986657039,0.05344444444444446,0.5
548,50,0.5,circles,logistic,0.5075555555555555,0.018052050941925586,0.454,0.03954743986657039,0.05355555555555552,1.0
549,50,0.5,circles,logistic,0.5076666666666666,0.017337962344854862,0.45499999999999996,0.039812058474788775,0.05266666666666664,10.0
550,50,0.5,circles,logistic,0.5077777777777778,0.01725623880739305,0.45499999999999996,0.039812058474788775,0.05277777777777781,100.0
551,50,0.5,circles,svm,0.5048888888888889,0.0024944382578492943,0.46299999999999997,0.026851443164195105,0.041888888888888975,0.001
552,50,0.5,circles,svm,0.5074444444444445,0.00860734684749526,0.46399999999999997,0.028705400188814654,0.04344444444444451,0.005
553,50,0.5,circles,svm,0.509,0.013151069054793636,0.46699999999999997,0.03522782990761709,0.04200000000000004,0.01
554,50,0.5,circles,svm,0.5536666666666668,0.024880206819036382,0.495,0.051623637996561236,0.058666666666666756,0.05
555,50,0.5,circles,svm,0.6318888888888889,0.006630457221260319,0.619,0.043,0.01288888888888895,0.1
556,50,0.5,circles,svm,0.645,0.006387681045246578,0.6360000000000001,0.05624944444170094,0.008999999999999897,0.5
